Question #, Answers (ABCDE), Explanation
1,-,-
2,-,-
3,-,-
4,-,-
5,-,-
6,-,-
7,-,-
8,-,-
9,-,-
10,-,-
11,-,-
12,-,-
13,-,-
14,-,-
15,-,-
16,-,-
17,-,-
18,C,"See example_code/2014-exam/Q18.linq"
19,C,"See example_code/2014-exam/Q19.linq"
20,D,"See example_code/2014-exam/Q20.linq"
21,E,"See example_code/2014-exam/Q21.linq"
22,E,"See example_code/2014-exam/Q22.linq"
23,A,"See example_code/2014-exam/Q23.linq"
24,-,"See example_code/2014-exam/Q24.linq"
25,-,"See example_code/2014-exam/Q25.linq"
26,D,"See example_code/2014-exam/Q26.linq"
27,A,"See example_code/2014-exam/Q27.linq"
28,A,"See example_code/2014-exam/Q28.linq"
29,C,"See example_code/2014-exam/Q28.linq"
30,-,-
31,-,-
32,-,-
33,-,-
34,-,-
35,-,-
36,-,-
37,-,-
38,-,-
39,-,-
40,-,-
41,-,-
42,-,-
43,-,-
44,-,-
45,-,-
46,-,-
47,-,-
48,-,-
49,-,-
50,-,-
51,-,-
52,-,-
53,-,-
54,-,-
55,-,-
56,-,-
